Gold (OG|GC) OG1U6 (0.19 DTE) vs 4416.4 (-88.5) - Intraday Volume
Put: 3,126  Call: 1,791  Vol: 54.00  Vol Chg: 15.47  Future Chg: -88.5
Strike,Call,Put,Vol Settle
4260,0,3,
4265,0,1,
4270,1,2,
4275,0,0,
4280,0,0,
4285,0,2,
4290,0,1,
4295,0,1,
4300,5,39,0.5109442468592533
4305,0,0,0.5029382243719738
4310,0,7,0.49507346493373916
4315,0,1,0.4873557699202138
4320,0,0,0.47979074024442525
4325,1,139,0.47238377638495876
4330,1,67,0.46514007840960403
4335,0,1,0.45806464592260454
4340,0,398,0.45116227809012344
4345,0,13,0.4444375736738948
4350,1,251,0.4378949309584641
4355,0,3,0.4315385478157623
4360,0,404,0.42537242168145895
4365,0,4,0.41940034954677685
4370,0,17,0.4136259279557635
4375,0,155,0.40805255304712773
4380,9,15,0.4026834204987608
4385,0,134,0.3975215255486546
4390,1,34,0.39256966301854845
4395,9,15,0.3878304272739115
4400,5,307,0.3833062122512274
4405,2,48,0.37899921145799453
4410,4,5,0.37491141795544536
4415,57,3,0.371044624366732
4420,1,10,0.36740042288602126
4425,1,57,0.36398020526667096
4430,12,51,0.36078516282486817
4435,11,6,0.35781628643871954
4440,1,109,0.35507436655734637
4445,2,103,0.3525599931863326
4450,55,143,0.35027355589318176
4455,0,43,0.3482152438182311
4460,10,6,0.34638504565191397
4465,3,15,0.34478274965749733
4470,1,100,0.3434079436592583
4475,1,15,0.3422600150515791
4480,70,156,0.3413381507716622
4485,21,27,0.34064133734227653
4490,25,20,0.3401683608426538
4495,5,45,0.33991780691576423
4500,433,20,0.3398880607519459
4505,57,1,0.3400773071361982
4510,15,1,0.340483530385427
4515,109,0,0.34110451440392353
4520,40,54,0.3419378426469848
4525,80,0,0.3429808981372844
4530,115,0,0.3442308634494111
4535,2,0,0.3456847207453393
4540,26,0,0.34733925172895397
4545,24,0,0.3491910376778833
4550,148,1,0.35123645942712756
4555,7,0,0.3534716973808827
4560,7,0,0.35589273150435474
4565,10,0,0.35849534132012195
4570,86,0,0.3612751059281436
4575,43,2,0.3642274039784752
4580,128,0,0.3673474136912773
