Gold (OG|GC) OG1U6 (0.05 DTE) vs 4447.3 (-57.6) - Open Interest Change
Put: 1,289  Call: 1,844  Vol: 24.03  Vol Chg: -10.93  Future Chg: -57.6
Strike,Call,Put,Vol Settle
4415,0,4,0.371044624366732
4420,0,67,0.36740042288602126
4425,-1,58,0.36398020526667096
4430,96,41,0.36078516282486817
4435,113,3,0.35781628643871954
4440,61,158,0.35507436655734637
4445,76,7,0.3525599931863326
4450,0,60,0.35027355589318176
4455,1,0,0.3482152438182311
4460,-1,11,0.34638504565191397
4465,1,146,0.34478274965749733
4470,-1,62,0.3434079436592583
4475,-11,-26,0.3422600150515791
4480,69,162,0.3413381507716622
