Gold (OG|GC) G2WU6 (5.00 DTE) vs 4448 (-56.9) - Open Interest Change
Put: 262  Call: 359  Vol: 17.90  Vol Chg: -3.98  Future Chg: -56.9
Strike,Call,Put,Vol Settle
4180,0,0,0.2974527664840707
4185,0,0,0.294936163599516
4190,0,0,0.29245281749825836
4195,0,0,0.2900032714707663
4200,0,0,0.2875880558488575
4205,0,0,0.28520768800626684
4210,0,0,0.2828626723576235
4215,0,0,0.28055350035936044
4220,0,0,0.27828065050982786
4225,0,2,0.27604458834809975
4230,0,0,0.27384576645567904
4235,0,0,0.2716846244546218
4240,0,0,0.2695615890087879
4245,0,0,0.2674770738238976
4250,0,2,0.26543147964736136
4255,0,0,0.2634251942669721
4260,0,0,0.2614585925135202
4265,0,0,0.25953203625738297
4270,0,0,0.2576458744126171
4275,0,0,0.25580044293349147
4280,0,0,0.2539960648156807
4285,0,0,0.2522330500972316
4290,0,0,0.2505116958562894
4295,0,0,0.24883228621439457
4300,0,-14,0.24719509233335657
4305,0,0,0.24560037241610644
4310,0,0,0.24404837170806104
4315,0,0,0.24253932249592935
4320,0,0,0.24107344410765563
4325,0,0,0.23965094291264677
4330,0,1,0.2382720123221702
4335,0,0,0.23693683278867184
4340,0,0,0.2356455718062307
4345,0,1,0.23439838391033163
4350,0,3,0.23319541067820637
4355,0,0,0.23203678072837874
4360,0,0,0.23092260972072154
4365,0,0,0.22985300035702494
4370,0,0,0.2288280423803144
4375,0,13,0.22784781257513487
4380,0,0,0.2269123747677213
4385,0,0,0.22602177982571448
4390,0,0,0.22517606565776305
4395,0,0,0.22437525721483098
4400,0,162,0.2236193664892312
4405,0,0,0.22290839251394345
4410,0,0,0.22224232136471755
4415,0,0,0.22162112615762908
4420,0,0,0.22104476705112575
4425,0,-4,0.22051319124472002
4430,0,0,0.2200263329797849
4435,4,0,0.2195841135385308
4440,4,0,0.21918644124536968
4445,0,0,0.21883321146560775
4450,-1,16,0.21852430660709388
4455,3,2,0.21825959611777535
4460,2,30,0.21803893648797157
4465,29,0,0.21786217124929408
4470,52,0,0.2177291309752718
4475,59,0,0.2176396332801005
4480,1,0,0.21759348282029123
4485,0,0,0.21759047129324927
4490,3,0,0.217630377437672
4495,0,0,0.21771296703542475
4500,3,44,0.21783799290801653
4505,0,0,0.21800519491927162
4510,7,0,0.2182142999736243
4515,0,0,0.21846502201873363
4520,1,0,0.21875706204230028
4525,22,0,0.219090108074397
4530,1,0,0.2194638351857634
4535,0,0,0.2198779054891702
4540,0,0,0.22033196813890754
4545,0,0,0.22082565933089882
4550,-6,0,0.22135860230207527
4555,0,0,0.22193040733105818
4560,2,0,0.22254067173918202
4565,0,0,0.22318897988606068
4570,11,0,0.22387490317640868
4575,-2,0,0.22459800005538
4580,0,1,0.22535781600737437
4585,1,0,0.2261538835618353
4590,2,0,0.22698572228676994
4595,0,0,0.22785283879392182
4600,0,0,0.22875472673501918
4605,1,0,0.22969086680421924
4610,1,0,0.2306607267361187
4615,10,0,0.23166376130774324
4620,0,0,0.23269941233741065
4625,9,0,0.23376710868512873
4630,0,0,0.23486626625162899
4635,0,0,0.23599628798029926
4640,0,0,0.23715656385468264
4645,0,0,0.23834647090052385
4650,3,0,0.23956537318633764
4655,0,0,0.24081262181960028
4660,0,0,0.24208755495175183
4665,0,0,0.24338949777336438
4670,0,0,0.24471776251812116
4675,102,0,0.24607164846122487
4680,0,0,0.2474504419184882
4685,0,0,0.24885341624849389
4690,0,0,0.25027983184924096
4695,0,0,0.2517289361625217
4700,31,0,0.2531999636709088
4705,0,0,0.254692135896903
4710,0,0,0.25620466140753706
4715,0,0,0.2577367358080096
4720,0,0,0.2592875417474261
4725,2,0,0.2608562489161841
4730,0,0,0.2624420140438133
4735,0,0,0.26404398090568293
